Id,Name,CourseCode,CourseUnit,Semester,Description,courseCategory,DegreeId,DepartmentId,LevelId,Status,Prerequisite,InstitutionProviderId,CreatedDate,UpdatedDate
1,Introduction to Financial Accounting I,ACC101,3,1,,0,2,22,1,,,,1900-01-01,1900-01-02
2,Introduction to Financial Accounting II,ACC102,3,2,,0,2,22,1,,,,1900-01-01,1900-01-02
3,Principles of Accounting I,ACC1101,3,1,,0,2,22,1,,,,1900-01-01,1900-01-02
4,Introduction to Financial Accounting I,ACC1102,3,1,,0,2,22,1,,,,1900-01-01,1900-01-02
5,Introduction  to Financial Accounting II,ACC1202,3,2,,0,2,22,1,,,,1900-01-01,1900-01-02
6,Principles of Accounting I,ACC2101,3,1,,0,2,22,2,,,,1900-01-01,1900-01-02
7,Cost Accounting I,ACC2102,3,1,,0,2,22,2,,,,1900-01-01,1900-01-02
8,Cost Accounting and Finance I,ACC2103,3,1,,0,2,22,2,,,,1900-01-01,1900-01-02
9,Principles of Accounting II,ACC2202,3,2,,2,2,22,2,,,,1900-01-01,1900-01-02
10,Principles of Accounting II,ACC2203,3,2,,0,2,22,2,,,,1900-01-01,1900-01-02
11,Cost Accounting II,ACC2204,3,2,,0,2,22,2,,,,1900-01-01,1900-01-02
12,Business Law I,ACC2205,3,2,,0,2,22,3,,,,1900-01-01,1900-01-02
13,Financial Accounting I,ACC3101,3,1,,0,2,22,3,,,,1900-01-01,1900-01-02
14,Public Sector Accounting and Finance,ACC3102,3,1,,0,2,22,3,,,,1900-01-01,1900-01-02
15,Management Information System,ACC3103,3,1,,0,2,22,3,,,,1900-01-01,1900-01-02
16,Public Sector Accounting and Finance,ACC3103,3,1,,0,2,22,3,,,,1900-01-01,1900-01-02
17,Business Law,ACC3104,3,1,,0,2,22,3,,,,1900-01-01,1900-01-02
18,Environmental Accounting ,ACC3105,3,1,,2,2,22,3,,,,1900-01-01,1900-01-02
19,Human Resources Accounting,ACC3106,3,1,,2,2,22,3,,,,1900-01-01,1900-01-02
20,Company Law,ACC3107,3,1,,0,2,22,3,,,,1900-01-01,1900-01-02
21,Financial Accounting II,ACC3205,3,2,,0,2,22,3,,,,1900-01-01,1900-01-02
22,Advanced Cost Accounting,ACC3206,3,2,,0,2,22,3,,,,1900-01-01,1900-01-02
23,Company Law,ACC3207,3,2,,0,2,22,3,,,,1900-01-01,1900-01-02
24,Auditing and Assurance,ACC3208,3,2,,0,2,22,3,,,,1900-01-01,1900-01-02
25,Research Methodology,ACC3209,3,2,,0,2,22,3,,,,1900-01-01,1900-01-02
26,Accounting Theory and International Financial Reporting,ACC3210,3,2,,0,2,22,3,,,,1900-01-01,1900-01-02
27,Taxation I,ACC3211,3,2,,0,2,22,3,,,,1900-01-01,1900-01-02
28,Business and Accounting Ethics,ACC3212,3,2,,2,2,22,3,,,,1900-01-01,1900-01-02
29,Introduction to Financial Econometrics,ACC3213,3,2,,2,2,22,3,,,,1900-01-01,1900-01-02
30,Advanced Financial Accounting,ACC4101,3,1,,0,2,22,4,,,,1900-01-01,1900-01-02
31,Management Accounting I,ACC4102,3,1,,0,2,22,4,,,,1900-01-01,1900-01-02
32,Nigerian Taxation,ACC4103,3,1,,0,2,22,4,,,,1900-01-01,1900-01-02
33,Business Policy and Strategy,ACC4104,3,1,,0,2,22,4,,,,1900-01-01,1900-01-02
34,International Accounting ,ACC4105,3,1,,0,2,22,4,,,,1900-01-01,1900-01-02
35,Strategic Financial Management,ACC4106,3,2,,0,2,22,4,,,,1900-01-01,1900-01-02
36,Taxation II,ACC4107,3,1,,0,2,22,4,,,,1900-01-01,1900-01-02
37,Auditing and Forensic Accounting,ACC4206,3,2,,0,2,22,4,,,,1900-01-01,1900-01-02
38,Auditing and Investigation,ACC4207,3,2,,0,2,22,4,,,,1900-01-01,1900-01-02
39,Management Accounting II,ACC4208,3,2,,0,2,22,4,,,,1900-01-01,1900-01-02
40,Taxation and Tax Management,ACC4209,3,2,,1,2,22,4,,,,1900-01-01,1900-01-02
41,Business Policy and Strategy II,ACC4210,3,2,,0,2,22,4,,,,1900-01-01,1900-01-02
42,Oil and Gas Accounting,ACC4211,3,2,,0,2,22,4,,,,1900-01-01,1900-01-02
43,Production Management,ACC4212,3,2,,2,2,22,4,,,,1900-01-01,1900-01-02
44,Research Project and Report,ACC4299,6,2,,0,2,22,4,,,,1900-01-01,1900-01-02
45,Entrepreneurship & Business Organization,ACU  ENT101,3,1,,1,2,23,1,,,,1900-01-01,1900-01-02
46,Entrepreneurship Study I,ACU  ENT109,0,1,,1,2,23,1,,,,1900-01-01,1900-01-02
47,Fundamentals of Architectural Design I,ACU ARC103,4,1,,0,2,15,1,,,,1900-01-01,1900-01-02
48,Fundamentals of Architectural Design I,ACU ARC103,4,2,,0,2,15,1,,,,1900-01-01,1900-01-02
49,Art Technology in Architecture,ACU ARC104,2,2,,0,2,15,1,,,,1900-01-01,1900-01-02
50,Free Hand Sketching ,ACU ARC105,2,1,,0,2,15,1,,,,1900-01-01,1900-01-02
51,Fundamentals of Planning Process and Design,ACU ARC106,2,2,,0,2,15,1,,,,1900-01-01,1900-01-02
52,Building Climatology,ACU ARC209,2,1,,0,2,15,2,,,,1900-01-01,1900-01-02
53,Traditional Yoruba Architecture,ACU ARC210,2,2,,0,2,15,2,,,,1900-01-01,1900-01-02
54,Building Maintenance,ACU ARC212,2,2,,0,2,15,2,,,,1900-01-01,1900-01-02
55,Architectural Visualisations,ACU ARC214,2,2,,0,2,15,2,,,,1900-01-01,1900-01-02
56,Introduction to Redox Biochemistry,ACU BCH2204,2,2,,2,2,25,2,,,,1900-01-01,1900-01-02
57,Data and Programming Skills for Bioscientists,ACU BCH2205,2,2,,2,2,25,2,,,,1900-01-01,1900-01-02
58,Endocrinology,ACU BCH3111,2,1,,2,2,25,3,,,,1900-01-01,1900-01-02
59,Food and Nutritional Biochemistry,ACU BCH3113,3,1,,2,2,25,3,,,,1900-01-01,1900-01-02
60,Experimental Biochemistry,ACU BCH3210,1,2,,2,2,25,3,,,,1900-01-01,1900-01-02
61,Clinical Biochemistry,ACU BCH3212,1,2,,2,2,25,3,,,,1900-01-01,1900-01-02
62,Cellular and Molecular Immunology,ACU BCH3214,2,2,,2,2,25,3,,,,1900-01-01,1900-01-02
63,Research Methods in Biochemistry,ACU BCH4109,3,1,,1,2,25,4,,,,1900-01-01,1900-01-02
64,Seminars in Biochemistry,ACU BCH4111,2,1,,1,2,25,4,,,,1900-01-01,1900-01-02
65,Tissue Biochemistry,ACU BCH4113,2,1,,2,2,25,4,,,,1900-01-01,1900-01-02
66,Cancer Biology,ACU BCH4115,2,1,,2,2,25,4,,,,1900-01-01,1900-01-02
67,Biochemical Pharmacology and Toxicology,ACU BCH4210,3,2,,1,2,25,4,,,,1900-01-01,1900-01-02
68,Industrial Biochemistry,ACU BCH4212,3,2,,1,2,25,4,,,,1900-01-01,1900-01-02
69,Forensic Biochemistry,ACU BCH4214,1,2,,2,2,25,4,,,,1900-01-01,1900-01-02
70,Management of Persons,ACU BUA101,2,1,,0,2,23,1,,,,1900-01-01,1900-01-02
71,Individual Work and Society,ACU BUA102,3,2,,0,2,23,1,,,,1900-01-01,1900-01-02
72,Computer Workshop Practice I,ACU COS103,1,1,,2,2,24,1,,,,1900-01-01,1900-01-02
73,Computer Workshop Practice II,ACU COS104,1,2,,2,2,24,1,,,,1900-01-01,1900-01-02
74,Computer and Society,ACU COS105,2,1,,2,2,24,1,,,,1900-01-01,1900-01-02
75,E-Services,ACU CSC108,3,2,,2,2,24,1,,,,1900-01-01,1900-01-02
76,Introduction to construction safety,ACU ECV101,3,1,,2,2,11,1,,,,1900-01-01,1900-01-02
77,Computer applications in Civil engineering,ACU ECV102,2,2,,2,2,11,1,,,,1900-01-01,1900-01-02
78,Technical communication in civil engineering,ACU ECV103,3,1,,2,2,11,1,,,,1900-01-01,1900-01-02
79,Elements of Special Education ,ACU EDU104,2,2,,0,2,10,1,,,,1900-01-01,1900-01-02
80,"Electricity,Magnetism and Optics",ACU EEE103,2,1,,1,2,12,1,,,,1900-01-01,1900-01-02
81,Ethical Issues in Workplace,ACU EHR104,3,2,,2,2,23,1,,,,1900-01-01,1900-01-02
82,Successful Employee Communication,ACU EHR108,3,2,,0,2,23,1,,,,1900-01-01,1900-01-02
83,Climate Change and Workforce,ACU EHR115,3,1,,1,2,23,1,,,,1900-01-01,1900-01-02
84,Industrial Relation and Rural Development,ACU EHR117,3,1,,1,2,23,1,,,,1900-01-01,1900-01-02
85,Introduction To Oral Literature,ACU ENG108,2,2,,1,2,17,1,,,,1900-01-01,1900-01-02
86,Introduction to Medical Humanities,ACU ENG109,2,1,,1,2,17,1,,,,1900-01-01,1900-01-02
87,Introduction to Nigerian Literature in English,ACU ENG110,2,2,,1,2,17,1,,,,1900-01-01,1900-01-02
88,Academic Writing (1),ACU ENG111,2,1,,1,2,17,1,,,,1900-01-01,1900-01-02
89,Introduction to Morphology and Syntax ,ACU ENG112,2,2,,1,2,17,1,,,,1900-01-01,1900-01-02
90,Theatre Workshop,ACU ENG114,2,2,,2,2,17,1,,,,1900-01-01,1900-01-02
91,Entrepreneurship and Business Organization,ACU ENT101,3,1,,0,2,23,1,,,,1900-01-01,1900-01-02
92,Entrepreneurship Studies I,ACU ENT109,0,1,,1,2,23,1,,,,1900-01-01,1900-01-02
93,Nature of Environmental Sciences ,ACU FES101,2,1,,2,2,33,1,,,,1900-01-01,1900-01-02
94,Basic Element of Planning ,ACU FES102,2,2,,1,2,33,1,,,,1900-01-01,1900-01-02
95,Basic Elements of Planning,ACU FES120,2,1,,0,2,16,1,,,,1900-01-01,1900-01-02
96,Intro to Finance,ACU FIN102,3,2,,0,2,22,1,,,,1900-01-01,1900-01-02
97,"Intro. to Microfinance,Small and Medium Scale Enterprises",ACU FIN103,2,1,,0,2,22,1,,,,1900-01-01,1900-01-02
98,Elements of Insurance,ACU FIN105,2,1,,0,2,22,1,,,,1900-01-01,1900-01-02
99,Personality and Social Development,ACU GCE104,2,2,,0,2,9,1,,,,1900-01-01,1900-01-02
100,Effective Communication in Counselling ,ACU GCE105,2,1,,0,2,9,1,,,,1900-01-01,1900-01-02
101,Educational Psychology and Counselling ,ACU GCE106,2,2,,0,2,9,1,,,,1900-01-01,1900-01-02
102,"Electricity,Magnetism and Optics",ACU GET103,2,1,,1,2,13,1,,,,1900-01-01,1900-01-02
103,Use of Library and ICT,ACU GST101,2,1,,0,2,17,1,,,,1900-01-01,1900-01-02
104,Anglicanism and Citizenship Education,ACU GST102,2,2,,0,2,17,1,,,,1900-01-01,1900-01-02
105,Bishop Ajayi Crowther in the History of Christianity and Education in Nigeria ,ACU HIS121,2,1,,0,2,18,1,,,,1900-01-01,1900-01-02
106,Local and Regional History ,ACU HIS126,2,2,,0,2,18,1,,,,1900-01-01,1900-01-02
107,Unit Operation,ACU ICM2207,3,2,,1,2,25,2,,,,1900-01-01,1900-01-02
108,Macromolecular Chemistry 1,ACU ICM2208,3,2,,1,2,25,2,,,,1900-01-01,1900-01-02
109,Introduction to Material Sciences,ACU ICM2210,2,2,,1,2,25,2,,,,1900-01-01,1900-01-02
110,Heat Transfer,ACU ICM3105,2,1,,1,2,25,3,,,,1900-01-01,1900-01-02
111,Environmental Chemistry,ACU ICM3107,2,1,,1,2,25,3,,,,1900-01-01,1900-01-02
