Id,Name,Description,StateId,CreatedDate,UpdatedDate
1,Bende,,1,4/20/2024,4/20/2024
2,Ikwuano,,1,4/20/2024,4/20/2024
3,Aba North,,1,4/20/2024,4/20/2024
4,Aba South,,1,4/20/2024,4/20/2024
5,Arochukwu,,1,4/20/2024,4/20/2024
6,Isiala Ngwa North,,1,4/20/2024,4/20/2024
7,Isiala Ngwa South,,1,4/20/2024,4/20/2024
8,Isuikwuato,,1,4/20/2024,4/20/2024
9,Obi Ngwa,,1,4/20/2024,4/20/2024
10,Ohafia,,1,4/20/2024,4/20/2024
11,Osisioma Ngwa,,1,4/20/2024,4/20/2024
12,Ugwunagbo,,1,4/20/2024,4/20/2024
13,Ukwa East,,1,4/20/2024,4/20/2024
14,Ukwa West,,1,4/20/2024,4/20/2024
15,Umuahia North,,1,4/20/2024,4/20/2024
16,Umuahia South,,1,4/20/2024,4/20/2024
17,Umu Nneochi,,1,4/20/2024,4/20/2024
18,Girei,,2,4/20/2024,4/20/2024
19,Gombi,,2,4/20/2024,4/20/2024
20,Jada,,2,4/20/2024,4/20/2024
21,Demsa,,2,4/20/2024,4/20/2024
22,Fufore,,2,4/20/2024,4/20/2024
23,Ganye,,2,4/20/2024,4/20/2024
24,Lamurde,,2,4/20/2024,4/20/2024
25,Madagali,,2,4/20/2024,4/20/2024
26,Maiha,,2,4/20/2024,4/20/2024
27,Mayo-Belwa,,2,4/20/2024,4/20/2024
28,Guyuk,,2,4/20/2024,4/20/2024
29,Hong,,2,4/20/2024,4/20/2024
30,Michika,,2,4/20/2024,4/20/2024
31,Numan,,2,4/20/2024,4/20/2024
32,Shelleng,,2,4/20/2024,4/20/2024
33,Song,,2,4/20/2024,4/20/2024
34,Mubi North,,2,4/20/2024,4/20/2024
35,Mubi South,,2,4/20/2024,4/20/2024
36,Toungo,,2,4/20/2024,4/20/2024
37,Yola North,,2,4/20/2024,4/20/2024
38,Yola South,,2,4/20/2024,4/20/2024
39,Ikono,,3,4/20/2024,4/20/2024
40,Eket,,3,4/20/2024,4/20/2024
41,Esit-Eket,,3,4/20/2024,4/20/2024
42,Abak,,3,4/20/2024,4/20/2024
43,Eastern Obolo,,3,4/20/2024,4/20/2024
44,Ibesikpo-Asutan,,3,4/20/2024,4/20/2024
45,Ibeno,,3,4/20/2024,4/20/2024
46,Ibiono-Ibom,,3,4/20/2024,4/20/2024
47,Ika,,3,4/20/2024,4/20/2024
48,Essien Udim,,3,4/20/2024,4/20/2024
49,Etim-Ekpo,,3,4/20/2024,4/20/2024
50,Etinan,,3,4/20/2024,4/20/2024
51,Nsit-Atai,,3,4/20/2024,4/20/2024
52,Nsit-Ibom,,3,4/20/2024,4/20/2024
53,Nsit-Ubium,,3,4/20/2024,4/20/2024
54,Obot-Akara,,3,4/20/2024,4/20/2024
55,Ini,,3,4/20/2024,4/20/2024
56,Itu,,3,4/20/2024,4/20/2024
57,Mbo,,3,4/20/2024,4/20/2024
