Id,Name,Description,FacultyId,DepartmentId,DegreeId,CourseRegMinLimit,CourseRegMaxLimit,Quota,InstitutionProviderId,CreatedDate,UpdatedDate
1,Agricultural Economics,,1,1,,0,0,0,,2024-01-01,2024-01-01
2,Agricultural Extension,,1,1,,0,0,0,,2024-01-01,2024-01-01
3,Crop Science,,1,2,,0,0,0,,2024-01-01,2024-01-01
4,Animal Science,,1,2,,0,0,0,,2024-01-01,2024-01-01
5,Environmental Health Science,,2,3,,0,0,0,,2024-01-01,2024-01-01
6,Medical Laboratory Science,,2,4,,0,0,0,,2024-01-01,2024-01-01
7,Nursing,,2,5,,0,0,0,,2024-01-01,2024-01-01
8,Radiography and radiation Science,,2,6,,0,0,0,,2024-01-01,2024-01-01
9,Communication and Media Studies,,3,7,,0,0,0,,2024-01-01,2024-01-01
10,Library and Information Science,,4,8,,0,0,0,,2024-01-01,2024-01-01
11,Business Education,,4,8,,0,0,0,,2024-01-01,2024-01-01
12,Economics Education,,4,8,,0,0,0,,2024-01-01,2024-01-01
13,English Education,,4,8,,0,0,0,,2024-01-01,2024-01-01
14,Guidance and Counseling,,4,9,,0,0,0,,2024-01-01,2024-01-01
15,Computer Education,,4,10,,0,0,0,,2024-01-01,2024-01-01
16,Civil Engineering,,5,11,,0,0,0,,2024-01-01,2024-01-01
17,Computer Engineering,,5,12,,0,0,0,,2024-01-01,2024-01-01
18,Electrical/Electronics Engineering,,5,13,,0,0,0,,2024-01-01,2024-01-01
19,Mechanical Engineering,,5,14,,0,0,0,,2024-01-01,2024-01-01
20,Architecture,,6,15,,0,0,0,,2024-01-01,2024-01-01
21,Estate Management,,6,16,,0,0,0,,2024-01-01,2024-01-01
22,English,,7,17,,0,0,0,,2024-01-01,2024-01-01
23,History & International Studies,,7,18,,0,0,0,,2024-01-01,2024-01-01
24,Performing Arts and Music,,7,19,,0,0,0,,2024-01-01,2024-01-01
25,Religious Studies,,7,20,,0,0,0,,2024-01-01,2024-01-01
26,Law,,8,21,,0,0,0,,2024-01-01,2024-01-01
27,Accounting,,9,22,,0,0,0,,2024-01-01,2024-01-01
28,Banking and Finance,,9,22,,0,0,0,,2024-01-01,2024-01-01
29,Business Administration,,9,23,,0,0,0,,2024-01-01,2024-01-01
30,Industrial Relations and Personnel Management,,9,23,,0,0,0,,2024-01-01,2024-01-01
31,Computer Science,,10,24,,0,0,0,,2024-01-01,2024-01-01
32,Computer Science(ICT Option),,10,24,,0,0,0,,2024-01-01,2024-01-01
33,Industrial Chemistry,,10,25,,0,0,0,,2024-01-01,2024-01-01
34,Physics ,,10,26,,0,0,0,,2024-01-01,2024-01-01
35,Geology,,10,27,,0,0,0,,2024-01-01,2024-01-01
36,Microbiology,,10,28,,0,0,0,,2024-01-01,2024-01-01
37,Biochemistry,,10,28,,0,0,0,,2024-01-01,2024-01-01
38,Mathematics,,10,29,,0,0,0,,2024-01-01,2024-01-01
39,Statistics,,10,29,,0,0,0,,2024-01-01,2024-01-01
40,Economics,,10,30,,0,0,0,,2024-01-01,2024-01-01
41,Political Science,,10,31,,0,0,0,,2024-01-01,2024-01-01
42,Peace Studies and Conflict Resolution,,10,32,,0,0,0,,2024-01-01,2024-01-01
43,Surveying and Geoinformatics,,6,33,,0,0,0,,2024-01-01,2024-01-01
44,Music,,7,19,,0,0,0,,2024-01-01,2024-01-01
45,Entrepreneurship,,9,23,,0,0,0,,2024-01-01,2024-01-01
9999,ALL,,9999,9999,,0,0,0,,2024-01-01,2024-01-01
