Id,Name,Description,CountryId,CreatedDate,UpdatedDate
1,Abia,Abia,1,2024-04-20,2024-04-20
2,Adamawa,Adamawa,1,2024-04-20,2024-04-20
3,Akwa Ibom,Akwa Ibom ,1,2024-04-20,2024-04-20
4,Anambra,Anambra,1,2024-04-20,2024-04-20
5,Bauchi,Bauchi,1,2024-04-20,2024-04-20
6,Bayelsa,Bayelsa,1,2024-04-20,2024-04-20
7,Benue,Benue,1,2024-04-20,2024-04-20
8,Borno ,Borno ,1,2024-04-20,2024-04-20
9,Cross-river,Cross-river,1,2024-04-20,2024-04-20
10,Delta,Delta,1,2024-04-20,2024-04-20
11,Ebonyi ,Ebonyi,1,2024-04-20,2024-04-20
12,Edo,Edo,1,2024-04-20,2024-04-20
13,Ekiti ,Ekiti ,1,2024-04-20,2024-04-20
14,Enugu ,Enugu ,1,2024-04-20,2024-04-20
15,Gombe,Gombe,1,2024-04-20,2024-04-20
16,Imo,Imo,1,2024-04-20,2024-04-20
17,Jigawa ,Jigawa ,1,2024-04-20,2024-04-20
18,Kaduna ,Kaduna ,1,2024-04-20,2024-04-20
19,Kano,Kano,1,2024-04-20,2024-04-20
20,Katsina ,Katsina ,1,2024-04-20,2024-04-20
21,Kebbi,Kebbi,1,2024-04-20,2024-04-20
22,Kogi ,Kogi ,1,2024-04-20,2024-04-20
23,Kwara ,Kwara ,1,2024-04-20,2024-04-20
24,Lagos,Lagos,1,2024-04-20,2024-04-20
25,Nasarawa,Nasarawa,1,2024-04-20,2024-04-20
26,Niger ,Niger ,1,2024-04-20,2024-04-20
27,Ogun,Ogun ,1,2024-04-20,2024-04-20
28,Ondo ,Ondo ,1,2024-04-20,2024-04-20
29,Osun ,Osun ,1,2024-04-20,2024-04-20
30,Oyo ,Oyo ,1,2024-04-20,2024-04-20
31,Plateau ,Plateau ,1,2024-04-20,2024-04-20
32,Rivers ,Rivers ,1,2024-04-20,2024-04-20
33,Sokoto ,Sokoto ,1,2024-04-20,2024-04-20
34,Taraba ,Taraba ,1,2024-04-20,2024-04-20
35,Yobe ,Yobe ,1,2024-04-20,2024-04-20
36,Zamfara ,Zamfara ,1,2024-04-20,2024-04-20
37,Abuja ,Abuja ,1,2024-04-20,2024-04-20
