"Id","Name","Description","CreatedDate","UpdatedDate"
1,Mathematics,"",2024-04-20 23:13:25.000,2024-04-20 23:13:25.000
2,English,"",2024-04-20 23:13:25.000,2024-04-20 23:13:25.000
3,Chemistry,"",2024-04-20 23:13:25.000,2024-04-20 23:13:25.000
4,Physics,"",2024-04-20 23:13:25.000,2024-04-20 23:13:25.000
5,Biology,"",2024-04-20 23:13:25.000,2024-04-20 23:13:25.000
6,Literature in English,"",2024-04-20 23:13:25.000,2024-04-20 23:13:25.000
7,Government,"",2024-04-20 23:13:25.000,2024-04-20 23:13:25.000
8,CRK or IRK,"",2024-04-20 23:13:25.000,2024-04-20 23:13:25.000
9,Yoruba / Igbo / Hausa,"",2024-04-20 23:13:25.000,2024-04-20 23:13:25.000
10,Economics,"",2024-04-20 23:13:25.000,2024-04-20 23:13:25.000
11,Accounting ,"",2024-04-20 23:13:25.000,2024-04-20 23:13:25.000
12,Commerce ,"",2024-04-20 23:13:25.000,2024-04-20 23:13:25.000
13,History ,"",2024-04-20 23:13:25.000,2024-04-20 23:13:25.000
14,Geography ,"",2024-04-20 23:13:25.000,2024-04-20 23:13:25.000
15,Agriculture ,"",2024-04-20 23:13:25.000,2024-04-20 23:13:25.000
16,Civil Education,"",2024-04-20 23:13:25.000,2024-04-20 23:13:25.000
