"Id","Name","Description","CreatedDate","UpdatedDate"
1,English,"",2024-04-20 23:13:25.000,2024-04-20 23:13:25.000
2,Mathematics,"",2024-04-20 23:13:25.000,2024-04-20 23:13:25.000
3,Fine Arts,"",2024-04-20 23:13:25.000,2024-04-20 23:13:25.000
4,Music,"",2024-04-20 23:13:25.000,2024-04-20 23:13:25.000
5,French,"",2024-04-20 23:13:25.000,2024-04-20 23:13:25.000
6,Animal Husbandary,"",2024-04-20 23:13:25.000,2024-04-20 23:13:25.000
7,Insurance,"",2024-04-20 23:13:25.000,2024-04-20 23:13:25.000
8,Chemistry,"",2024-04-20 23:13:25.000,2024-04-20 23:13:25.000
9,Physics,"",2024-04-20 23:13:25.000,2024-04-20 23:13:25.000
10,Yoruba,"",2024-04-20 23:13:25.000,2024-04-20 23:13:25.000
11,Biology,"",2024-04-20 23:13:25.000,2024-04-20 23:13:25.000
12,Geography,"",2024-04-20 23:13:25.000,2024-04-20 23:13:25.000
13,Literature In English,"",2024-04-20 23:13:25.000,2024-04-20 23:13:25.000
14,Economics,"",2024-04-20 23:13:25.000,2024-04-20 23:13:25.000
15,Commerce,"",2024-04-20 23:13:25.000,2024-04-20 23:13:25.000
16,Accounting,"",2024-04-20 23:13:25.000,2024-04-20 23:13:25.000
17,Government,"",2024-04-20 23:13:25.000,2024-04-20 23:13:25.000
18,Igbo,"",2024-04-20 23:13:25.000,2024-04-20 23:13:25.000
19,Christian Religious Knowledge(CRK),"",2024-04-20 23:13:25.000,2024-04-20 23:13:25.000
20,Agricultural Science,"",2024-04-20 23:13:25.000,2024-04-20 23:13:25.000
21,Islamic Religious Knowledge(IRK),"",2024-04-20 23:13:25.000,2024-04-20 23:13:25.000
22,History,"",2024-04-20 23:13:25.000,2024-04-20 23:13:25.000
23,Civic Education,"",2024-04-20 23:13:25.000,2024-04-20 23:13:25.000
24,Further Mathematics,"",2024-04-20 23:13:25.000,2024-04-20 23:13:25.000
25,Arabic,"",2024-04-20 23:13:25.000,2024-04-20 23:13:25.000
26,Home Economics,"",2024-04-20 23:13:25.000,2024-04-20 23:13:25.000
27,Data Processing,"",2024-04-20 23:13:25.000,2024-04-20 23:13:25.000
28,Catering Craft Practics,"",2024-04-20 23:13:25.000,2024-04-20 23:13:25.000
29,Computer Studies,"",2024-04-20 23:13:25.000,2024-04-20 23:13:25.000
30,Marketing,"",2024-04-20 23:13:25.000,2024-04-20 23:13:25.000
31,Physical Education,"",2024-04-20 23:13:25.000,2024-04-20 23:13:25.000
32,Office Practice,"",2024-04-20 23:13:25.000,2024-04-20 23:13:25.000
